Pheno,UKB ID,IDP short name,,Units,Type,Cat.,Category name,IDP description,N(disc),Npar(disc),Nnonpar(disc),N(rep),Npar(rep),Nnonpar(rep),N(all),Npar(all),Nnonpar(all),Heritability,Heritability(SE)
363,26808,aparc-Desikan_lh_volume_pericalcarine,,mm3,float,1,regional and tissue volume,Volume of pericalcarine in the left hemisphere generated by parcellation of the white surface using Desikan-Killiany parcellation,21282,21262,21270,10686,-,-,31968,31943,31954,2.87E-01,2.75E-02
364,26809,aparc-Desikan_lh_volume_postcentral,,mm3,float,1,regional and tissue volume,Volume of postcentral in the left hemisphere generated by parcellation of the white surface using Desikan-Killiany parcellation,21282,21262,21270,10686,-,-,31968,31943,31954,1.55E-01,1.98E-02
365,26810,aparc-Desikan_lh_volume_posteriorcingulate,,mm3,float,1,regional and tissue volume,Volume of posteriorcingulate in the left hemisphere generated by parcellation of the white surface using Desikan-Killiany parcellation,21281,21261,21269,10686,-,-,31967,31942,31953,1.22E-01,2.16E-02
366,26811,aparc-Desikan_lh_volume_precentral,,mm3,float,1,regional and tissue volume,Volume of precentral in the left hemisphere generated by parcellation of the white surface using Desikan-Killiany parcellation,21282,21262,21270,10686,-,-,31968,31943,31954,1.87E-01,2.03E-02
367,26812,aparc-Desikan_lh_volume_precuneus,,mm3,float,1,regional and tissue volume,Volume of precuneus in the left hemisphere generated by parcellation of the white surface using Desikan-Killiany parcellation,21282,21262,21270,10686,-,-,31968,31943,31954,2.33E-01,2.21E-02
368,26813,aparc-Desikan_lh_volume_rostralanteriorcingulate,,mm3,float,1,regional and tissue volume,Volume of rostralanteriorcingulate in the left hemisphere generated by parcellation of the white surface using Desikan-Killiany parcellation,21282,21262,21270,10685,-,-,31967,31942,31953,1.75E-01,1.73E-02
369,26814,aparc-Desikan_lh_volume_rostralmiddlefrontal,,mm3,float,1,regional and tissue volume,Volume of rostralmiddlefrontal in the left hemisphere generated by parcellation of the white surface using Desikan-Killiany parcellation,21282,21262,21270,10686,-,-,31968,31943,31954,2.01E-01,1.69E-02
370,26815,aparc-Desikan_lh_volume_superiorfrontal,,mm3,float,1,regional and tissue volume,Volume of superiorfrontal in the left hemisphere generated by parcellation of the white surface using Desikan-Killiany parcellation,21282,21262,21270,10686,-,-,31968,31943,31954,2.12E-01,2.19E-02
371,26816,aparc-Desikan_lh_volume_superiorparietal,,mm3,float,1,regional and tissue volume,Volume of superiorparietal in the left hemisphere generated by parcellation of the white surface using Desikan-Killiany parcellation,21282,21262,21270,10686,-,-,31968,31943,31954,1.87E-01,1.96E-02
372,26817,aparc-Desikan_lh_volume_superiortemporal,,mm3,float,1,regional and tissue volume,Volume of superiortemporal in the left hemisphere generated by parcellation of the white surface using Desikan-Killiany parcellation,21282,21262,21270,10686,-,-,31968,31943,31954,2.23E-01,2.31E-02
373,26818,aparc-Desikan_lh_volume_supramarginal,,mm3,float,1,regional and tissue volume,Volume of supramarginal in the left hemisphere generated by parcellation of the white surface using Desikan-Killiany parcellation,21282,21262,21270,10686,10681,10684,31968,31943,31954,1.70E-01,1.88E-02
374,26819,aparc-Desikan_lh_volume_frontalpole,,mm3,float,1,regional and tissue volume,Volume of frontalpole in the left hemisphere generated by parcellation of the white surface using Desikan-Killiany parcellation,21282,21262,21270,10685,-,-,31967,31942,31953,7.41E-02,1.68E-02
375,26820,aparc-Desikan_lh_volume_transversetemporal,,mm3,float,1,regional and tissue volume,Volume of transversetemporal in the left hemisphere generated by parcellation of the white surface using Desikan-Killiany parcellation,21282,21262,21270,10686,-,-,31968,31943,31954,1.65E-01,1.83E-02
376,26821,aparc-Desikan_lh_volume_insula,,mm3,float,1,regional and tissue volume,Volume of insula in the left hemisphere generated by parcellation of the white surface using Desikan-Killiany parcellation,21282,21262,21270,10686,-,-,31968,31943,31954,2.37E-01,2.13E-02
377,26890,aparc-Desikan_rh_volume_bankssts,,mm3,float,1,regional and tissue volume,Volume of bankssts in the right hemisphere generated by parcellation of the white surface using Desikan-Killiany parcellation,21282,21262,21270,10686,-,-,31968,31943,31954,1.45E-01,1.90E-02
378,26891,aparc-Desikan_rh_volume_caudalanteriorcingulate,,mm3,float,1,regional and tissue volume,Volume of caudalanteriorcingulate in the right hemisphere generated by parcellation of the white surface using Desikan-Killiany parcellation,21282,21262,21270,10684,-,-,31966,31941,31952,8.10E-02,1.53E-02
379,26892,aparc-Desikan_rh_volume_caudalmiddlefrontal,,mm3,float,1,regional and tissue volume,Volume of caudalmiddlefrontal in the right hemisphere generated by parcellation of the white surface using Desikan-Killiany parcellation,21282,21262,21270,10686,-,-,31968,31943,31954,1.87E-01,1.96E-02
380,26893,aparc-Desikan_rh_volume_cuneus,,mm3,float,1,regional and tissue volume,Volume of cuneus in the right hemisphere generated by parcellation of the white surface using Desikan-Killiany parcellation,21282,21262,21270,10686,-,-,31968,31943,31954,2.67E-01,2.43E-02
381,26894,aparc-Desikan_rh_volume_entorhinal,,mm3,float,1,regional and tissue volume,Volume of entorhinal in the right hemisphere generated by parcellation of the white surface using Desikan-Killiany parcellation,21282,21262,21270,10686,-,-,31968,31943,31954,1.26E-01,1.71E-02
382,26895,aparc-Desikan_rh_volume_fusiform,,mm3,float,1,regional and tissue volume,Volume of fusiform in the right hemisphere generated by parcellation of the white surface using Desikan-Killiany parcellation,21282,21262,21270,10686,-,-,31968,31943,31954,1.91E-01,1.78E-02
383,26896,aparc-Desikan_rh_volume_inferiorparietal,,mm3,float,1,regional and tissue volume,Volume of inferiorparietal in the right hemisphere generated by parcellation of the white surface using Desikan-Killiany parcellation,21282,21262,21270,10686,-,-,31968,31943,31954,1.59E-01,1.86E-02
384,26897,aparc-Desikan_rh_volume_inferiortemporal,,mm3,float,1,regional and tissue volume,Volume of inferiortemporal in the right hemisphere generated by parcellation of the white surface using Desikan-Killiany parcellation,21282,21262,21270,10686,-,-,31968,31943,31954,1.87E-01,1.78E-02
385,26898,aparc-Desikan_rh_volume_isthmuscingulate,,mm3,float,1,regional and tissue volume,Volume of isthmuscingulate in the right hemisphere generated by parcellation of the white surface using Desikan-Killiany parcellation,21282,21262,21270,10686,-,-,31968,31943,31954,1.26E-01,1.88E-02
386,26899,aparc-Desikan_rh_volume_lateraloccipital,,mm3,float,1,regional and tissue volume,Volume of lateraloccipital in the right hemisphere generated by parcellation of the white surface using Desikan-Killiany parcellation,21282,21262,21270,10686,-,-,31968,31943,31954,2.03E-01,2.11E-02
387,26900,aparc-Desikan_rh_volume_lateralorbitofrontal,,mm3,float,1,regional and tissue volume,Volume of lateralorbitofrontal in the right hemisphere generated by parcellation of the white surface using Desikan-Killiany parcellation,21282,21262,21270,10686,-,-,31968,31943,31954,2.06E-01,1.94E-02
388,26901,aparc-Desikan_rh_volume_lingual,,mm3,float,1,regional and tissue volume,Volume of lingual in the right hemisphere generated by parcellation of the white surface using Desikan-Killiany parcellation,21282,21262,21270,10686,-,-,31968,31943,31954,2.24E-01,2.40E-02
389,26902,aparc-Desikan_rh_volume_medialorbitofrontal,,mm3,float,1,regional and tissue volume,Volume of medialorbitofrontal in the right hemisphere generated by parcellation of the white surface using Desikan-Killiany parcellation,21282,21262,21270,10686,-,-,31968,31943,31954,1.59E-01,1.73E-02
390,26903,aparc-Desikan_rh_volume_middletemporal,,mm3,float,1,regional and tissue volume,Volume of middletemporal in the right hemisphere generated by parcellation of the white surface using Desikan-Killiany parcellation,21282,21262,21270,10686,-,-,31968,31943,31954,2.03E-01,2.09E-02
391,26904,aparc-Desikan_rh_volume_parahippocampal,,mm3,float,1,regional and tissue volume,Volume of parahippocampal in the right hemisphere generated by parcellation of the white surface using Desikan-Killiany parcellation,21282,21262,21270,10686,-,-,31968,31943,31954,1.92E-01,1.86E-02
392,26905,aparc-Desikan_rh_volume_paracentral,,mm3,float,1,regional and tissue volume,Volume of paracentral in the right hemisphere generated by parcellation of the white surface using Desikan-Killiany parcellation,21282,21262,21270,10686,-,-,31968,31943,31954,1.29E-01,1.72E-02
393,26906,aparc-Desikan_rh_volume_parsopercularis,,mm3,float,1,regional and tissue volume,Volume of parsopercularis in the right hemisphere generated by parcellation of the white surface using Desikan-Killiany parcellation,21282,21262,21270,10686,-,-,31968,31943,31954,1.28E-01,1.79E-02
394,26907,aparc-Desikan_rh_volume_parsorbitalis,,mm3,float,1,regional and tissue volume,Volume of parsorbitalis in the right hemisphere generated by parcellation of the white surface using Desikan-Killiany parcellation,21281,21261,21269,10685,-,-,31966,31941,31952,1.64E-01,1.75E-02
395,26908,aparc-Desikan_rh_volume_parstriangularis,,mm3,float,1,regional and tissue volume,Volume of parstriangularis in the right hemisphere generated by parcellation of the white surface using Desikan-Killiany parcellation,21282,21262,21270,10686,-,-,31968,31943,31954,1.25E-01,2.05E-02
396,26909,aparc-Desikan_rh_volume_pericalcarine,,mm3,float,1,regional and tissue volume,Volume of pericalcarine in the right hemisphere generated by parcellation of the white surface using Desikan-Killiany parcellation,21282,21262,21270,10686,-,-,31968,31943,31954,3.14E-01,2.93E-02
397,26910,aparc-Desikan_rh_volume_postcentral,,mm3,float,1,regional and tissue volume,Volume of postcentral in the right hemisphere generated by parcellation of the white surface using Desikan-Killiany parcellation,21282,21262,21270,10686,-,-,31968,31943,31954,1.81E-01,1.96E-02
398,26911,aparc-Desikan_rh_volume_posteriorcingulate,,mm3,float,1,regional and tissue volume,Volume of posteriorcingulate in the right hemisphere generated by parcellation of the white surface using Desikan-Killiany parcellation,21282,21262,21270,10686,-,-,31968,31943,31954,1.25E-01,1.71E-02
399,26912,aparc-Desikan_rh_volume_precentral,,mm3,float,1,regional and tissue volume,Volume of precentral in the right hemisphere generated by parcellation of the white surface using Desikan-Killiany parcellation,21282,21262,21270,10686,10681,10684,31968,31943,31954,2.23E-01,2.20E-02
400,26913,aparc-Desikan_rh_volume_precuneus,,mm3,float,1,regional and tissue volume,Volume of precuneus in the right hemisphere generated by parcellation of the white surface using Desikan-Killiany parcellation,21282,21262,21270,10686,-,-,31968,31943,31954,2.27E-01,2.13E-02
401,26914,aparc-Desikan_rh_volume_rostralanteriorcingulate,,mm3,float,1,regional and tissue volume,Volume of rostralanteriorcingulate in the right hemisphere generated by parcellation of the white surface using Desikan-Killiany parcellation,21282,21262,21270,10685,-,-,31967,31942,31953,1.04E-01,1.40E-02
402,26915,aparc-Desikan_rh_volume_rostralmiddlefrontal,,mm3,float,1,regional and tissue volume,Volume of rostralmiddlefrontal in the right hemisphere generated by parcellation of the white surface using Desikan-Killiany parcellation,21282,21262,21270,10686,-,-,31968,31943,31954,1.90E-01,1.76E-02
403,26916,aparc-Desikan_rh_volume_superiorfrontal,,mm3,float,1,regional and tissue volume,Volume of superiorfrontal in the right hemisphere generated by parcellation of the white surface using Desikan-Killiany parcellation,21282,21262,21270,10686,-,-,31968,31943,31954,1.88E-01,1.75E-02
404,26917,aparc-Desikan_rh_volume_superiorparietal,,mm3,float,1,regional and tissue volume,Volume of superiorparietal in the right hemisphere generated by parcellation of the white surface using Desikan-Killiany parcellation,21282,21262,21270,10686,-,-,31968,31943,31954,1.71E-01,1.97E-02
405,26918,aparc-Desikan_rh_volume_superiortemporal,,mm3,float,1,regional and tissue volume,Volume of superiortemporal in the right hemisphere generated by parcellation of the white surface using Desikan-Killiany parcellation,21282,21262,21270,10686,-,-,31968,31943,31954,2.25E-01,1.78E-02
406,26919,aparc-Desikan_rh_volume_supramarginal,,mm3,float,1,regional and tissue volume,Volume of supramarginal in the right hemisphere generated by parcellation of the white surface using Desikan-Killiany parcellation,21282,21262,21270,10686,-,-,31968,31943,31954,1.54E-01,1.77E-02
407,26920,aparc-Desikan_rh_volume_frontalpole,,mm3,float,1,regional and tissue volume,Volume of frontalpole in the right hemisphere generated by parcellation of the white surface using Desikan-Killiany parcellation,21281,21261,21269,10686,-,-,31967,31942,31953,7.18E-02,1.62E-02
408,26921,aparc-Desikan_rh_volume_transversetemporal,,mm3,float,1,regional and tissue volume,Volume of transversetemporal in the right hemisphere generated by parcellation of the white surface using Desikan-Killiany parcellation,21281,21261,21269,10686,-,-,31967,31942,31953,1.47E-01,1.78E-02
409,26922,aparc-Desikan_rh_volume_insula,,mm3,float,1,regional and tissue volume,Volume of insula in the right hemisphere generated by parcellation of the white surface using Desikan-Killiany parcellation,21282,21262,21270,10686,-,-,31968,31943,31954,2.39E-01,2.17E-02
410,27087,BA-exvivo_lh_volume_BA1,,mm3,float,1,regional and tissue volume,Volume of BA1 in the left hemisphere generated by parcellation of the white surface using BA_exvivo parcellation,21281,21261,21269,10686,-,-,31967,31942,31953,1.57E-01,1.87E-02
411,27088,BA-exvivo_lh_volume_BA2,,mm3,float,1,regional and tissue volume,Volume of BA2 in the left hemisphere generated by parcellation of the white surface using BA_exvivo parcellation,21281,21261,21269,10686,-,-,31967,31942,31953,1.25E-01,1.84E-02
412,27089,BA-exvivo_lh_volume_BA3a,,mm3,float,1,regional and tissue volume,Volume of BA3a in the left hemisphere generated by parcellation of the white surface using BA_exvivo parcellation,21281,21261,21269,10686,-,-,31967,31942,31953,1.33E-01,1.77E-02
413,27090,BA-exvivo_lh_volume_BA3b,,mm3,float,1,regional and tissue volume,Volume of BA3b in the left hemisphere generated by parcellation of the white surface using BA_exvivo parcellation,21281,21261,21269,10686,-,-,31967,31942,31953,1.73E-01,2.23E-02
414,27091,BA-exvivo_lh_volume_BA4a,,mm3,float,1,regional and tissue volume,Volume of BA4a in the left hemisphere generated by parcellation of the white surface using BA_exvivo parcellation,21281,21261,21269,10686,-,-,31967,31942,31953,1.71E-01,1.72E-02
415,27092,BA-exvivo_lh_volume_BA4p,,mm3,float,1,regional and tissue volume,Volume of BA4p in the left hemisphere generated by parcellation of the white surface using BA_exvivo parcellation,21281,21261,21269,10686,-,-,31967,31942,31953,1.27E-01,1.78E-02
416,27093,BA-exvivo_lh_volume_BA6,,mm3,float,1,regional and tissue volume,Volume of BA6 in the left hemisphere generated by parcellation of the white surface using BA_exvivo parcellation,21281,21261,21269,10686,-,-,31967,31942,31953,2.06E-01,2.02E-02
417,27094,BA-exvivo_lh_volume_BA44,,mm3,float,1,regional and tissue volume,Volume of BA44 in the left hemisphere generated by parcellation of the white surface using BA_exvivo parcellation,21281,21261,21269,10686,-,-,31967,31942,31953,1.32E-01,1.61E-02
418,27095,BA-exvivo_lh_volume_BA45,,mm3,float,1,regional and tissue volume,Volume of BA45 in the left hemisphere generated by parcellation of the white surface using BA_exvivo parcellation,21281,21261,21269,10686,-,-,31967,31942,31953,1.47E-01,1.82E-02
419,27096,BA-exvivo_lh_volume_V1,,mm3,float,1,regional and tissue volume,Volume of V1 in the left hemisphere generated by parcellation of the white surface using BA_exvivo parcellation,21281,21261,21269,10686,-,-,31967,31942,31953,2.75E-01,2.62E-02
420,27097,BA-exvivo_lh_volume_V2,,mm3,float,1,regional and tissue volume,Volume of V2 in the left hemisphere generated by parcellation of the white surface using BA_exvivo parcellation,21281,21261,21269,10686,10681,10684,31967,31942,31953,2.43E-01,2.25E-02
421,27098,BA-exvivo_lh_volume_MT,,mm3,float,1,regional and tissue volume,Volume of MT in the left hemisphere generated by parcellation of the white surface using BA_exvivo parcellation,21281,21261,21269,10686,10681,10684,31967,31942,31953,1.26E-01,1.81E-02
422,27099,BA-exvivo_lh_volume_perirhinal,,mm3,float,1,regional and tissue volume,Volume of perirhinal in the left hemisphere generated by parcellation of the white surface using BA_exvivo parcellation,21281,21261,21269,10686,-,-,31967,31942,31953,1.29E-01,1.87E-02
423,27100,BA-exvivo_lh_volume_entorhinal,,mm3,float,1,regional and tissue volume,Volume of entorhinal in the left hemisphere generated by parcellation of the white surface using BA_exvivo parcellation,21281,21261,21269,10686,-,-,31967,31942,31953,1.95E-01,2.10E-02
424,27129,BA-exvivo_rh_volume_BA1,,mm3,float,1,regional and tissue volume,Volume of BA1 in the right hemisphere generated by parcellation of the white surface using BA_exvivo parcellation,21281,21261,21269,10686,-,-,31967,31942,31953,1.63E-01,1.88E-02
425,27130,BA-exvivo_rh_volume_BA2,,mm3,float,1,regional and tissue volume,Volume of BA2 in the right hemisphere generated by parcellation of the white surface using BA_exvivo parcellation,21281,21261,21269,10686,-,-,31967,31942,31953,1.20E-01,1.48E-02
426,27131,BA-exvivo_rh_volume_BA3a,,mm3,float,1,regional and tissue volume,Volume of BA3a in the right hemisphere generated by parcellation of the white surface using BA_exvivo parcellation,21281,21261,21269,10686,-,-,31967,31942,31953,1.68E-01,2.03E-02
427,27132,BA-exvivo_rh_volume_BA3b,,mm3,float,1,regional and tissue volume,Volume of BA3b in the right hemisphere generated by parcellation of the white surface using BA_exvivo parcellation,21281,21261,21269,10686,-,-,31967,31942,31953,1.85E-01,2.98E-02
428,27133,BA-exvivo_rh_volume_BA4a,,mm3,float,1,regional and tissue volume,Volume of BA4a in the right hemisphere generated by parcellation of the white surface using BA_exvivo parcellation,21281,21261,21269,10686,-,-,31967,31942,31953,1.50E-01,1.89E-02
429,27134,BA-exvivo_rh_volume_BA4p,,mm3,float,1,regional and tissue volume,Volume of BA4p in the right hemisphere generated by parcellation of the white surface using BA_exvivo parcellation,21281,21261,21269,10686,-,-,31967,31942,31953,1.66E-01,1.99E-02
430,27135,BA-exvivo_rh_volume_BA6,,mm3,float,1,regional and tissue volume,Volume of BA6 in the right hemisphere generated by parcellation of the white surface using BA_exvivo parcellation,21281,21261,21269,10686,-,-,31967,31942,31953,2.17E-01,1.96E-02
431,27136,BA-exvivo_rh_volume_BA44,,mm3,float,1,regional and tissue volume,Volume of BA44 in the right hemisphere generated by parcellation of the white surface using BA_exvivo parcellation,21281,21261,21269,10686,-,-,31967,31942,31953,1.81E-01,1.69E-02
432,27137,BA-exvivo_rh_volume_BA45,,mm3,float,1,regional and tissue volume,Volume of BA45 in the right hemisphere generated by parcellation of the white surface using BA_exvivo parcellation,21281,21261,21269,10686,-,-,31967,31942,31953,1.33E-01,1.83E-02
433,27138,BA-exvivo_rh_volume_V1,,mm3,float,1,regional and tissue volume,Volume of V1 in the right hemisphere generated by parcellation of the white surface using BA_exvivo parcellation,21281,21261,21269,10686,-,-,31967,31942,31953,2.85E-01,2.85E-02
434,27139,BA-exvivo_rh_volume_V2,,mm3,float,1,regional and tissue volume,Volume of V2 in the right hemisphere generated by parcellation of the white surface using BA_exvivo parcellation,21281,21261,21269,10686,-,-,31967,31942,31953,2.63E-01,2.54E-02
435,27140,BA-exvivo_rh_volume_MT,,mm3,float,1,regional and tissue volume,Volume of MT in the right hemisphere generated by parcellation of the white surface using BA_exvivo parcellation,21281,21261,21269,10686,-,-,31967,31942,31953,1.36E-01,1.72E-02
436,27141,BA-exvivo_rh_volume_perirhinal,,mm3,float,1,regional and tissue volume,Volume of perirhinal in the right hemisphere generated by parcellation of the white surface using BA_exvivo parcellation,21281,21261,21269,10686,-,-,31967,31942,31953,9.57E-02,1.57E-02
437,27142,BA-exvivo_rh_volume_entorhinal,,mm3,float,1,regional and tissue volume,Volume of entorhinal in the right hemisphere generated by parcellation of the white surface using BA_exvivo parcellation,21281,21261,21269,10686,-,-,31967,31942,31953,2.02E-01,2.04E-02
438,27205,aparc-DKTatlas_lh_volume_caudalanteriorcingulate,,mm3,float,1,regional and tissue volume,Volume of caudalanteriorcingulate in the left hemisphere generated by parcellation of the white surface using DKT parcellation,21282,21262,21270,10685,-,-,31967,31942,31953,1.77E-01,1.95E-02
439,27206,aparc-DKTatlas_lh_volume_caudalmiddlefrontal,,mm3,float,1,regional and tissue volume,Volume of caudalmiddlefrontal in the left hemisphere generated by parcellation of the white surface using DKT parcellation,21282,21262,21270,10686,-,-,31968,31943,31954,1.48E-01,2.06E-02
440,27207,aparc-DKTatlas_lh_volume_cuneus,,mm3,float,1,regional and tissue volume,Volume of cuneus in the left hemisphere generated by parcellation of the white surface using DKT parcellation,21282,21262,21270,10686,-,-,31968,31943,31954,2.50E-01,2.29E-02
441,27208,aparc-DKTatlas_lh_volume_entorhinal,,mm3,float,1,regional and tissue volume,Volume of entorhinal in the left hemisphere generated by parcellation of the white surface using DKT parcellation,21281,21261,21269,10686,-,-,31967,31942,31953,1.28E-01,1.73E-02
442,27209,aparc-DKTatlas_lh_volume_fusiform,,mm3,float,1,regional and tissue volume,Volume of fusiform in the left hemisphere generated by parcellation of the white surface using DKT parcellation,21282,21262,21270,10686,-,-,31968,31943,31954,1.69E-01,1.80E-02
443,27210,aparc-DKTatlas_lh_volume_inferiorparietal,,mm3,float,1,regional and tissue volume,Volume of inferiorparietal in the left hemisphere generated by parcellation of the white surface using DKT parcellation,21282,21262,21270,10686,-,-,31968,31943,31954,1.97E-01,1.98E-02
444,27211,aparc-DKTatlas_lh_volume_inferiortemporal,,mm3,float,1,regional and tissue volume,Volume of inferiortemporal in the left hemisphere generated by parcellation of the white surface using DKT parcellation,21282,21262,21270,10686,-,-,31968,31943,31954,1.66E-01,1.80E-02
445,27212,aparc-DKTatlas_lh_volume_isthmuscingulate,,mm3,float,1,regional and tissue volume,Volume of isthmuscingulate in the left hemisphere generated by parcellation of the white surface using DKT parcellation,21282,21262,21270,10686,-,-,31968,31943,31954,1.77E-01,1.95E-02
446,27213,aparc-DKTatlas_lh_volume_lateraloccipital,,mm3,float,1,regional and tissue volume,Volume of lateraloccipital in the left hemisphere generated by parcellation of the white surface using DKT parcellation,21282,21262,21270,10686,10681,10684,31968,31943,31954,1.92E-01,1.90E-02
447,27214,aparc-DKTatlas_lh_volume_lateralorbitofrontal,,mm3,float,1,regional and tissue volume,Volume of lateralorbitofrontal in the left hemisphere generated by parcellation of the white surface using DKT parcellation,21282,21262,21270,10686,-,-,31968,31943,31954,2.42E-01,2.27E-02
448,27215,aparc-DKTatlas_lh_volume_lingual,,mm3,float,1,regional and tissue volume,Volume of lingual in the left hemisphere generated by parcellation of the white surface using DKT parcellation,21282,21262,21270,10686,-,-,31968,31943,31954,2.22E-01,2.26E-02
449,27216,aparc-DKTatlas_lh_volume_medialorbitofrontal,,mm3,float,1,regional and tissue volume,Volume of medialorbitofrontal in the left hemisphere generated by parcellation of the white surface using DKT parcellation,21282,21262,21270,10686,-,-,31968,31943,31954,1.60E-01,1.83E-02
450,27217,aparc-DKTatlas_lh_volume_middletemporal,,mm3,float,1,regional and tissue volume,Volume of middletemporal in the left hemisphere generated by parcellation of the white surface using DKT parcellation,21282,21262,21270,10686,-,-,31968,31943,31954,2.20E-01,2.06E-02
451,27218,aparc-DKTatlas_lh_volume_parahippocampal,,mm3,float,1,regional and tissue volume,Volume of parahippocampal in the left hemisphere generated by parcellation of the white surface using DKT parcellation,21282,21262,21270,10686,-,-,31968,31943,31954,2.10E-01,1.97E-02
452,27219,aparc-DKTatlas_lh_volume_paracentral,,mm3,float,1,regional and tissue volume,Volume of paracentral in the left hemisphere generated by parcellation of the white surface using DKT parcellation,21282,21262,21270,10686,-,-,31968,31943,31954,1.68E-01,1.91E-02
453,27220,aparc-DKTatlas_lh_volume_parsopercularis,,mm3,float,1,regional and tissue volume,Volume of parsopercularis in the left hemisphere generated by parcellation of the white surface using DKT parcellation,21282,21262,21270,10686,-,-,31968,31943,31954,1.13E-01,1.64E-02
454,27221,aparc-DKTatlas_lh_volume_parsorbitalis,,mm3,float,1,regional and tissue volume,Volume of parsorbitalis in the left hemisphere generated by parcellation of the white surface using DKT parcellation,21282,21262,21270,10685,-,-,31967,31942,31953,1.60E-01,1.73E-02
455,27222,aparc-DKTatlas_lh_volume_parstriangularis,,mm3,float,1,regional and tissue volume,Volume of parstriangularis in the left hemisphere generated by parcellation of the white surface using DKT parcellation,21282,21262,21270,10686,-,-,31968,31943,31954,1.36E-01,1.85E-02
456,27223,aparc-DKTatlas_lh_volume_pericalcarine,,mm3,float,1,regional and tissue volume,Volume of pericalcarine in the left hemisphere generated by parcellation of the white surface using DKT parcellation,21282,21262,21270,10686,-,-,31968,31943,31954,2.88E-01,2.77E-02
457,27224,aparc-DKTatlas_lh_volume_postcentral,,mm3,float,1,regional and tissue volume,Volume of postcentral in the left hemisphere generated by parcellation of the white surface using DKT parcellation,21282,21262,21270,10686,-,-,31968,31943,31954,1.54E-01,1.89E-02
458,27225,aparc-DKTatlas_lh_volume_posteriorcingulate,,mm3,float,1,regional and tissue volume,Volume of posteriorcingulate in the left hemisphere generated by parcellation of the white surface using DKT parcellation,21281,21261,21269,10686,-,-,31967,31942,31953,1.33E-01,2.30E-02
459,27226,aparc-DKTatlas_lh_volume_precentral,,mm3,float,1,regional and tissue volume,Volume of precentral in the left hemisphere generated by parcellation of the white surface using DKT parcellation,21282,21262,21270,10686,-,-,31968,31943,31954,1.87E-01,2.04E-02
460,27227,aparc-DKTatlas_lh_volume_precuneus,,mm3,float,1,regional and tissue volume,Volume of precuneus in the left hemisphere generated by parcellation of the white surface using DKT parcellation,21282,21262,21270,10686,-,-,31968,31943,31954,2.35E-01,2.23E-02
461,27228,aparc-DKTatlas_lh_volume_rostralanteriorcingulate,,mm3,float,1,regional and tissue volume,Volume of rostralanteriorcingulate in the left hemisphere generated by parcellation of the white surface using DKT parcellation,21282,21262,21270,10686,10681,10684,31968,31943,31954,1.70E-01,2.02E-02
462,27229,aparc-DKTatlas_lh_volume_rostralmiddlefrontal,,mm3,float,1,regional and tissue volume,Volume of rostralmiddlefrontal in the left hemisphere generated by parcellation of the white surface using DKT parcellation,21282,21262,21270,10686,10681,10684,31968,31943,31954,1.86E-01,1.67E-02
463,27230,aparc-DKTatlas_lh_volume_superiorfrontal,,mm3,float,1,regional and tissue volume,Volume of superiorfrontal in the left hemisphere generated by parcellation of the white surface using DKT parcellation,21282,21262,21270,10686,-,-,31968,31943,31954,1.92E-01,2.13E-02
464,27231,aparc-DKTatlas_lh_volume_superiorparietal,,mm3,float,1,regional and tissue volume,Volume of superiorparietal in the left hemisphere generated by parcellation of the white surface using DKT parcellation,21282,21262,21270,10686,-,-,31968,31943,31954,1.84E-01,1.94E-02
465,27232,aparc-DKTatlas_lh_volume_superiortemporal,,mm3,float,1,regional and tissue volume,Volume of superiortemporal in the left hemisphere generated by parcellation of the white surface using DKT parcellation,21282,21262,21270,10686,-,-,31968,31943,31954,2.08E-01,2.14E-02
466,27233,aparc-DKTatlas_lh_volume_supramarginal,,mm3,float,1,regional and tissue volume,Volume of supramarginal in the left hemisphere generated by parcellation of the white surface using DKT parcellation,21282,21262,21270,10686,10681,10684,31968,31943,31954,1.74E-01,1.76E-02
467,27234,aparc-DKTatlas_lh_volume_transversetemporal,,mm3,float,1,regional and tissue volume,Volume of transversetemporal in the left hemisphere generated by parcellation of the white surface using DKT parcellation,21282,21262,21270,10686,-,-,31968,31943,31954,1.67E-01,1.86E-02
468,27235,aparc-DKTatlas_lh_volume_insula,,mm3,float,1,regional and tissue volume,Volume of insula in the left hemisphere generated by parcellation of the white surface using DKT parcellation,21282,21262,21270,10686,-,-,31968,31943,31954,2.82E-01,2.36E-02
469,27298,aparc-DKTatlas_rh_volume_caudalanteriorcingulate,,mm3,float,1,regional and tissue volume,Volume of caudalanteriorcingulate in the right hemisphere generated by parcellation of the white surface using DKT parcellation,21282,21262,21270,10684,-,-,31966,31941,31952,8.05E-02,1.55E-02
470,27299,aparc-DKTatlas_rh_volume_caudalmiddlefrontal,,mm3,float,1,regional and tissue volume,Volume of caudalmiddlefrontal in the right hemisphere generated by parcellation of the white surface using DKT parcellation,21282,21262,21270,10686,-,-,31968,31943,31954,1.94E-01,1.98E-02
471,27300,aparc-DKTatlas_rh_volume_cuneus,,mm3,float,1,regional and tissue volume,Volume of cuneus in the right hemisphere generated by parcellation of the white surface using DKT parcellation,21282,21262,21270,10686,-,-,31968,31943,31954,2.54E-01,2.36E-02
